year,election,univ_pr_interval_by_year,avg_turnout
2008,presidential,5,66.38273517944016
2008,presidential,15,70.4619114910857
2008,presidential,25,72.70718650429653
2008,presidential,35,74.27599257966283
2008,presidential,45,75.31783683713178
2008,presidential,55,76.07026855452897
2008,presidential,65,76.87013610803889
2008,presidential,75,77.50938719367807
2008,presidential,85,78.16093512019407
2008,presidential,95,79.15248445343985
2010,mayoral,5,69.00257739304325
2010,mayoral,15,71.75599985823332
2010,mayoral,25,71.63222710933239
2010,mayoral,35,70.78485513151436
2010,mayoral,45,70.38417196771357
2010,mayoral,55,69.2487993594315
2010,mayoral,65,68.57489799163248
2010,mayoral,75,67.63206983781117
2010,mayoral,85,67.10462748040088
2010,mayoral,95,67.83865569635444
2012,presidential,5,65.07925086066463
2012,presidential,15,69.80521950340963
2012,presidential,25,71.87527224023873
2012,presidential,35,73.35617605682995
2012,presidential,45,73.89744213730835
2012,presidential,55,74.28020258342316
2012,presidential,65,74.89696469395248
2012,presidential,75,75.08880038920091
2012,presidential,85,75.90908297222595
2012,presidential,95,76.81343493778206
2014,mayoral,5,73.42130685418226
2014,mayoral,15,72.84553661594171
2014,mayoral,25,71.37658299219929
2014,mayoral,35,69.28440318472595
2014,mayoral,45,67.98553308738667
2014,mayoral,55,67.17001696542926
2014,mayoral,65,65.88886164235439
2014,mayoral,75,65.6345685943502
2014,mayoral,85,64.98855990730847
2014,mayoral,95,65.9274839281738
2016,presidential,5,58.8876737928384
2016,presidential,15,62.59767636673477
2016,presidential,25,64.76720318271632
2016,presidential,35,65.90095484927478
2016,presidential,45,66.42549404820825
2016,presidential,55,66.71390123016756
2016,presidential,65,66.7687102889551
2016,presidential,75,66.98468331797257
2016,presidential,85,67.4847393734864
2016,presidential,95,68.03834667105447
2018,mayoral,5,74.68843757070681
2018,mayoral,15,73.62673809006203
2018,mayoral,25,72.73607012025936
2018,mayoral,35,72.01551440273336
2018,mayoral,45,70.22357286652243
2018,mayoral,55,68.59731657299858
2018,mayoral,65,66.93881207261454
2018,mayoral,75,66.308452390229
2018,mayoral,85,65.44214940351064
2018,mayoral,95,65.77703889785701
2020,presidential,5,66.84952087576102
2020,presidential,15,70.34088529490215
2020,presidential,25,72.45142397458125
2020,presidential,35,74.06489266386836
2020,presidential,45,74.76186780596379
2020,presidential,55,75.43097889904634
2020,presidential,65,75.59178569456051
2020,presidential,75,76.1016062518081
2020,presidential,85,76.33083160743014
2020,presidential,95,77.04847101023803
